,County,Percent_Households_Below_Poverty_Level,Median_Age,Homeowner_Vacancy_Rate,Percent_Pop_25_And_Over_With_College_Or_Higher_Educ
1860,"Oneida, New York",14.4,41.0,1.7,25.7
1861,"Onondaga, New York",13.4,39.1,1.7,35.9
1862,"Ontario, New York",8.3,43.7,1.3,36.3
1863,"Orange, New York",10.5,37.0,2.8,30.3
1864,"Orleans, New York",12.9,43.0,0.8,16.2
1865,"Oswego, New York",14.9,40.3,2.1,19.0
1866,"Otsego, New York",14.3,42.3,2.2,31.1
1867,"Putnam, New York",4.2,44.2,1.2,39.6
1868,"Queens, New York",12.6,39.0,1.5,32.2
1869,"Rensselaer, New York",10.7,39.8,1.3,32.0
1870,"Richmond, New York",12.6,40.1,2.3,33.9
1871,"Rockland, New York",10.7,36.0,1.2,41.1
1872,"St. Lawrence, New York",16.5,39.0,2.3,23.8
1873,"Saratoga, New York",6.3,42.8,1.1,41.4
1874,"Schenectady, New York",10.7,39.7,2.0,32.1
1875,"Schoharie, New York",11.6,45.4,1.9,22.4
1876,"Schuyler, New York",15.0,46.4,1.8,23.5
1877,"Seneca, New York",11.2,42.1,1.6,21.1
1878,"Steuben, New York",12.9,42.9,1.4,23.6
1879,"Suffolk, New York",6.7,41.5,1.4,36.3
1880,"Sullivan, New York",14.7,42.8,3.1,24.8
1881,"Tioga, New York",10.9,44.5,1.3,26.0
1882,"Tompkins, New York",17.7,31.1,1.9,53.5
1883,"Ulster, New York",12.0,44.0,1.9,32.5
1884,"Warren, New York",9.8,46.8,2.0,31.3
1885,"Washington, New York",10.3,44.2,1.7,20.5
1886,"Wayne, New York",11.1,43.8,1.2,22.6
1887,"Westchester, New York",9.3,40.9,1.7,48.9
1888,"Wyoming, New York",10.2,42.2,1.0,17.7
1889,"Yates, New York",11.1,41.0,1.1,25.2
1890,"Alamance, North Carolina",15.0,39.1,1.0,24.8
1891,"Alexander, North Carolina",13.3,43.7,1.2,14.2
1892,"Alleghany, North Carolina",20.5,50.1,2.6,17.3
1893,"Anson, North Carolina",19.1,40.9,4.2,11.3
1894,"Ashe, North Carolina",16.9,48.3,1.8,19.7
1895,"Avery, North Carolina",16.6,45.2,3.3,20.7
1896,"Beaufort, North Carolina",18.0,46.2,3.3,20.6
1897,"Bertie, North Carolina",22.8,45.4,1.2,13.6
1898,"Bladen, North Carolina",22.8,44.5,0.9,15.8
1899,"Brunswick, North Carolina",12.4,53.8,2.5,29.9
1900,"Buncombe, North Carolina",11.5,42.2,2.4,40.1
1901,"Burke, North Carolina",16.3,44.1,2.2,16.4
1902,"Cabarrus, North Carolina",9.5,37.9,1.3,32.3
1903,"Caldwell, North Carolina",15.5,44.6,1.6,15.7
1904,"Camden, North Carolina",8.1,41.0,0.0,17.1
1905,"Carteret, North Carolina",10.8,48.6,3.5,29.1
1906,"Caswell, North Carolina",18.1,45.7,3.6,15.9
1907,"Catawba, North Carolina",13.0,41.4,1.0,22.6
1908,"Chatham, North Carolina",9.4,46.7,1.4,42.4
1909,"Cherokee, North Carolina",16.2,51.5,2.9,19.0
1910,"Chowan, North Carolina",16.1,46.0,4.0,21.7
1911,"Clay, North Carolina",15.3,52.2,1.3,23.7
1912,"Cleveland, North Carolina",20.4,41.8,2.0,17.6
1913,"Columbus, North Carolina",22.2,41.9,1.5,13.8
1914,"Craven, North Carolina",13.9,37.0,2.5,25.3
1915,"Cumberland, North Carolina",16.9,31.3,4.0,25.5
1916,"Currituck, North Carolina",9.4,42.8,2.5,23.5
1917,"Dare, North Carolina",8.6,46.5,4.1,34.7
1918,"Davidson, North Carolina",14.7,42.5,2.4,18.5
1919,"Davie, North Carolina",11.4,45.2,2.5,24.0
1920,"Duplin, North Carolina",18.6,40.5,1.1,12.1
1921,"Durham, North Carolina",13.1,35.4,0.7,48.2
1922,"Edgecombe, North Carolina",24.6,41.7,3.4,13.6
1923,"Forsyth, North Carolina",15.5,38.4,2.3,34.0
1924,"Franklin, North Carolina",12.3,41.4,0.8,22.0
1925,"Gaston, North Carolina",14.0,40.1,0.9,21.2
1926,"Gates, North Carolina",12.3,46.5,2.0,14.3
1927,"Graham, North Carolina",17.7,46.2,3.2,12.9
1928,"Granville, North Carolina",13.1,42.7,0.9,22.5
1929,"Greene, North Carolina",21.3,40.7,0.5,11.0
1930,"Guilford, North Carolina",14.6,37.1,1.5,36.0
1931,"Halifax, North Carolina",25.2,43.4,1.3,14.4
1932,"Harnett, North Carolina",14.7,34.4,2.5,21.9
1933,"Haywood, North Carolina",12.8,47.6,1.9,26.0
1934,"Henderson, North Carolina",11.2,47.4,1.3,31.8
1935,"Hertford, North Carolina",21.6,42.2,1.5,14.9
1936,"Hoke, North Carolina",20.4,32.8,4.0,17.7
1937,"Hyde, North Carolina",21.2,40.9,1.9,9.2
1938,"Iredell, North Carolina",10.5,40.6,2.2,28.4
1939,"Jackson, North Carolina",17.6,37.7,1.9,30.4
1940,"Johnston, North Carolina",11.6,38.4,0.9,22.9
1941,"Jones, North Carolina",23.4,48.5,0.6,12.2
1942,"Lee, North Carolina",15.0,38.6,2.4,21.5
1943,"Lenoir, North Carolina",20.8,42.7,2.4,14.9
1944,"Lincoln, North Carolina",12.0,43.3,0.9,23.0
1945,"McDowell, North Carolina",15.9,43.9,1.9,17.4
1946,"Macon, North Carolina",14.0,50.1,3.1,23.8
1947,"Madison, North Carolina",17.9,44.0,3.5,28.5
1948,"Martin, North Carolina",17.8,46.3,1.6,16.4
1949,"Mecklenburg, North Carolina",10.4,35.1,1.3,45.4
1950,"Mitchell, North Carolina",13.2,47.0,3.1,20.5
1951,"Montgomery, North Carolina",18.0,43.6,3.5,15.7
1952,"Moore, North Carolina",10.7,44.3,3.3,37.4
1953,"Nash, North Carolina",15.6,41.7,1.3,20.8
1954,"New Hanover, North Carolina",15.8,39.1,1.5,40.6
1955,"Northampton, North Carolina",21.0,49.6,1.3,13.8
1956,"Onslow, North Carolina",12.4,26.4,2.9,22.9
1957,"Orange, North Carolina",12.8,34.8,2.0,59.7
1958,"Pamlico, North Carolina",13.2,52.4,3.1,18.5
1959,"Pasquotank, North Carolina",15.9,38.6,2.5,22.1
1960,"Pender, North Carolina",14.1,42.7,1.6,27.9
1961,"Perquimans, North Carolina",16.3,49.8,2.0,20.2
1962,"Person, North Carolina",14.8,43.7,1.7,15.6
1963,"Pitt, North Carolina",21.1,32.5,2.1,32.7
1964,"Polk, North Carolina",10.2,52.7,3.6,29.1
1965,"Randolph, North Carolina",14.8,41.7,1.5,15.7
1966,"Richmond, North Carolina",23.3,40.5,1.1,15.7
1967,"Robeson, North Carolina",27.1,36.6,1.2,13.7
1968,"Rockingham, North Carolina",17.7,44.7,2.1,15.1
1969,"Rowan, North Carolina",14.9,40.2,2.0,18.5
1970,"Rutherford, North Carolina",17.6,45.0,1.9,17.8
1971,"Sampson, North Carolina",18.9,40.3,0.7,13.7
1972,"Scotland, North Carolina",26.2,39.3,1.2,15.5
1973,"Stanly, North Carolina",12.0,42.2,1.2,17.3
1974,"Stokes, North Carolina",13.6,46.2,2.4,14.1
1975,"Surry, North Carolina",17.3,44.1,1.4,18.0
1976,"Swain, North Carolina",17.1,41.9,0.3,18.2
1977,"Transylvania, North Carolina",12.9,51.1,2.3,32.6
1978,"Tyrrell, North Carolina",21.5,46.2,1.3,10.6
1979,"Union, North Carolina",7.9,38.2,1.0,35.4
1980,"Vance, North Carolina",19.3,40.9,1.2,14.8
1981,"Wake, North Carolina",8.0,36.2,1.0,52.8
1982,"Warren, North Carolina",20.0,48.0,3.4,15.8
1983,"Washington, North Carolina",25.9,46.1,4.3,11.5
1984,"Watauga, North Carolina",25.0,31.9,4.2,42.2
1985,"Wayne, North Carolina",18.4,37.8,1.5,19.0
1986,"Wilkes, North Carolina",15.9,44.9,0.8,15.8
1987,"Wilson, North Carolina",19.8,40.5,1.3,19.6
1988,"Yadkin, North Carolina",13.4,44.4,0.4,11.6
1989,"Yancey, North Carolina",16.4,47.6,4.9,20.3
1990,"Adams, North Dakota",12.8,45.6,5.3,25.6
1991,"Barnes, North Dakota",12.6,45.1,2.0,29.4
1992,"Benson, North Dakota",25.8,30.5,2.0,16.2
1993,"Billings, North Dakota",6.8,43.7,0.0,26.3
1994,"Bottineau, North Dakota",9.2,45.0,3.7,24.0
1995,"Bowman, North Dakota",11.7,41.0,1.7,24.2
1996,"Burke, North Dakota",6.7,36.8,5.2,22.8
1997,"Burleigh, North Dakota",8.9,37.0,1.3,35.8
1998,"Cass, North Dakota",11.2,32.5,0.8,40.2
1999,"Cavalier, North Dakota",10.9,49.5,3.8,19.5
2000,"Dickey, North Dakota",6.4,41.9,2.2,28.8
2001,"Divide, North Dakota",12.0,51.1,2.3,18.5
2002,"Dunn, North Dakota",8.9,39.0,1.8,21.3
2003,"Eddy, North Dakota",12.4,45.8,3.3,26.2
2004,"Emmons, North Dakota",14.7,50.9,3.2,18.2
2005,"Foster, North Dakota",7.8,44.8,1.6,26.7
2006,"Golden Valley, North Dakota",7.4,45.0,4.2,26.9
2007,"Grand Forks, North Dakota",17.4,29.7,0.7,35.6
2008,"Grant, North Dakota",13.4,50.1,1.9,18.1
2009,"Griggs, North Dakota",7.4,51.1,2.9,25.8
2010,"Hettinger, North Dakota",12.3,46.5,3.4,13.0
2011,"Kidder, North Dakota",11.7,47.8,0.8,17.7
2012,"LaMoure, North Dakota",11.6,47.9,3.8,24.6
2013,"Logan, North Dakota",9.8,52.0,0.1,19.6
2014,"McHenry, North Dakota",10.4,43.2,1.5,21.4
2015,"McIntosh, North Dakota",12.7,53.5,1.5,15.6
2016,"McKenzie, North Dakota",8.7,30.1,1.1,25.8
2017,"McLean, North Dakota",9.3,46.0,1.1,20.8
2018,"Mercer, North Dakota",8.3,44.0,3.1,21.7
2019,"Morton, North Dakota",8.2,37.8,2.9,26.9
2020,"Mountrail, North Dakota",9.9,33.2,3.1,20.4
2021,"Nelson, North Dakota",10.8,52.4,1.7,25.0
2022,"Oliver, North Dakota",7.5,47.0,1.6,21.1
2023,"Pembina, North Dakota",8.9,48.1,4.1,20.6
2024,"Pierce, North Dakota",16.1,45.8,0.0,21.0
2025,"Ramsey, North Dakota",13.5,40.7,2.3,26.4
2026,"Ransom, North Dakota",6.2,46.6,1.3,19.1
2027,"Renville, North Dakota",2.9,39.0,5.0,20.1
2028,"Richland, North Dakota",12.2,37.3,0.7,21.3
2029,"Rolette, North Dakota",26.1,31.4,0.2,19.6
2030,"Sargent, North Dakota",5.3,45.2,0.7,18.5
2031,"Sheridan, North Dakota",11.4,50.9,0.0,14.6
2032,"Sioux, North Dakota",30.8,28.2,0.2,15.0
2033,"Slope, North Dakota",6.1,47.7,0.7,25.9
2034,"Stark, North Dakota",10.0,34.2,2.4,22.4
2035,"Steele, North Dakota",5.0,50.3,0.5,30.9
2036,"Stutsman, North Dakota",12.1,40.5,2.2,23.7
2037,"Towner, North Dakota",13.5,47.6,2.5,17.0
2038,"Traill, North Dakota",8.8,41.2,0.8,28.9
2039,"Walsh, North Dakota",11.0,44.2,1.2,17.2
2040,"Ward, North Dakota",10.2,31.6,2.2,29.3
2041,"Wells, North Dakota",11.6,51.6,3.6,22.2
2042,"Williams, North Dakota",6.6,31.3,4.6,23.6
2043,"Adams, Ohio",21.0,42.0,3.5,13.2
2044,"Allen, Ohio",14.1,39.2,1.2,18.9
2045,"Ashland, Ohio",12.1,40.4,1.3,20.9
2046,"Ashtabula, Ohio",18.1,42.5,1.3,14.3
2047,"Athens, Ohio",28.2,29.6,1.7,30.2
2048,"Auglaize, Ohio",8.8,41.1,1.0,18.9
2049,"Belmont, Ohio",12.5,44.6,1.6,16.7
2050,"Brown, Ohio",14.8,42.1,0.7,14.9
2051,"Butler, Ohio",12.1,36.7,1.1,30.2
2052,"Carroll, Ohio",11.5,45.5,2.2,13.3
2053,"Champaign, Ohio",10.0,41.9,1.3,16.1
2054,"Clark, Ohio",14.2,41.1,1.1,18.7
2055,"Clermont, Ohio",9.2,40.0,0.9,28.6
2056,"Clinton, Ohio",13.9,39.4,1.5,18.9
2057,"Columbiana, Ohio",13.6,44.1,1.7,14.9
2058,"Coshocton, Ohio",13.7,41.3,1.2,13.2
2059,"Crawford, Ohio",15.5,43.0,1.4,14.4
2060,"Cuyahoga, Ohio",17.3,40.4,1.8,32.5
2061,"Darke, Ohio",10.5,41.9,1.9,15.8
2062,"Defiance, Ohio",9.6,40.4,1.7,18.0
2063,"Delaware, Ohio",5.1,38.8,0.7,54.3
2064,"Erie, Ohio",11.5,44.8,2.7,23.2
2065,"Fairfield, Ohio",9.1,39.2,1.4,27.6
2066,"Fayette, Ohio",15.6,41.4,0.6,16.3
2067,"Franklin, Ohio",13.6,34.1,1.1,40.0
2068,"Fulton, Ohio",7.9,41.1,0.3,17.6
2069,"Gallia, Ohio",19.1,40.7,3.1,15.9
2070,"Geauga, Ohio",6.4,44.8,1.0,38.0
2071,"Greene, Ohio",11.7,38.3,1.1,39.2
2072,"Guernsey, Ohio",18.3,42.2,2.3,14.6
2073,"Hamilton, Ohio",15.1,36.8,1.0,37.9
2074,"Hancock, Ohio",10.9,39.3,1.3,27.1
2075,"Hardin, Ohio",14.7,35.9,1.0,16.2
2076,"Harrison, Ohio",16.1,46.3,1.1,11.6
2077,"Henry, Ohio",8.3,41.1,1.5,17.2
2078,"Highland, Ohio",17.5,40.8,1.2,13.4
2079,"Hocking, Ohio",14.1,43.1,1.6,14.4
2080,"Holmes, Ohio",10.0,31.5,0.8,9.7
2081,"Huron, Ohio",12.4,39.8,1.2,14.4
2082,"Jackson, Ohio",17.9,40.1,3.4,14.5
2083,"Jefferson, Ohio",17.2,44.8,2.2,15.8
2084,"Knox, Ohio",12.3,39.4,0.7,23.0
2085,"Lake, Ohio",7.8,43.8,1.1,27.4
2086,"Lawrence, Ohio",19.3,41.8,3.6,14.9
2087,"Licking, Ohio",10.5,39.7,1.8,26.1
2088,"Logan, Ohio",12.1,41.4,2.0,16.5
2089,"Lorain, Ohio",13.6,41.8,1.4,24.9
2090,"Lucas, Ohio",18.6,37.8,1.5,26.3
2091,"Madison, Ohio",7.7,40.8,0.9,17.5
2092,"Mahoning, Ohio",16.8,43.5,3.3,24.2
2093,"Marion, Ohio",13.9,41.3,1.4,12.5
2094,"Medina, Ohio",6.3,42.2,0.9,33.9
2095,"Meigs, Ohio",19.5,43.6,1.3,13.1
2096,"Mercer, Ohio",6.6,39.6,1.6,18.3
2097,"Miami, Ohio",9.2,41.3,0.8,23.3
2098,"Monroe, Ohio",16.2,46.5,2.1,12.5
2099,"Montgomery, Ohio",15.7,39.2,2.4,27.9
2100,"Morgan, Ohio",19.8,44.5,1.2,10.2
2101,"Morrow, Ohio",8.2,42.2,1.0,13.8
2102,"Muskingum, Ohio",15.4,40.3,1.5,16.1
2103,"Noble, Ohio",11.5,50.4,0.3,9.9
2104,"Ottawa, Ohio",9.4,49.3,1.9,23.1
2105,"Paulding, Ohio",10.6,42.1,2.5,15.6
2106,"Perry, Ohio",19.7,40.2,2.0,12.2
2107,"Pickaway, Ohio",12.5,39.7,1.9,18.4
2108,"Pike, Ohio",17.9,40.8,1.7,12.6
2109,"Portage, Ohio",13.2,38.0,1.0,29.0
2110,"Preble, Ohio",10.6,42.7,1.5,16.3
2111,"Putnam, Ohio",7.7,39.8,0.3,20.9
2112,"Richland, Ohio",13.5,41.1,1.2,18.3
2113,"Ross, Ohio",16.3,41.0,0.8,15.8
2114,"Sandusky, Ohio",12.0,42.2,0.7,16.1
2115,"Scioto, Ohio",23.4,39.9,1.9,15.7
2116,"Seneca, Ohio",12.2,39.9,1.4,16.8
2117,"Shelby, Ohio",7.9,39.5,0.8,18.7
2118,"Stark, Ohio",13.1,42.1,1.3,22.8
2119,"Summit, Ohio",13.2,41.0,1.6,32.5
2120,"Trumbull, Ohio",16.7,44.3,2.4,18.7
2121,"Tuscarawas, Ohio",12.9,41.0,1.0,17.4
2122,"Union, Ohio",6.3,38.0,1.2,35.5
2123,"Van Wert, Ohio",11.7,41.2,2.3,16.6
2124,"Vinton, Ohio",18.7,42.9,0.9,12.8
2125,"Warren, Ohio",5.2,39.4,0.4,43.0
2126,"Washington, Ohio",14.9,44.3,0.8,18.8
2127,"Wayne, Ohio",10.6,38.7,1.1,22.2
2128,"Williams, Ohio",9.2,41.4,0.2,15.2
2129,"Wood, Ohio",13.0,34.9,1.3,33.5
2130,"Wyandot, Ohio",9.4,42.1,1.1,17.2
2131,"Adair, Oklahoma",25.7,37.2,1.8,11.6
2132,"Alfalfa, Oklahoma",10.5,44.2,3.0,21.8
2133,"Atoka, Oklahoma",21.2,40.2,2.5,15.0
2134,"Beaver, Oklahoma",10.7,39.0,3.8,19.9
2135,"Beckham, Oklahoma",14.8,35.9,4.9,16.8
2136,"Blaine, Oklahoma",14.6,43.5,1.0,16.5
2137,"Bryan, Oklahoma",17.4,37.2,1.4,21.9
2138,"Caddo, Oklahoma",18.3,37.7,2.3,15.4
2139,"Canadian, Oklahoma",7.4,35.9,1.9,27.4
2140,"Carter, Oklahoma",15.4,38.2,2.9,20.5
2141,"Cherokee, Oklahoma",20.6,35.3,3.0,26.3
2142,"Choctaw, Oklahoma",26.9,42.0,2.4,13.4
2143,"Cimarron, Oklahoma",14.1,43.8,2.6,22.8
2144,"Cleveland, Oklahoma",12.0,34.2,1.6,33.4
2145,"Coal, Oklahoma",21.6,42.0,1.6,17.3
2146,"Comanche, Oklahoma",15.7,33.0,2.5,22.2
2147,"Cotton, Oklahoma",19.6,43.5,2.1,13.7
2148,"Craig, Oklahoma",16.4,42.1,1.9,14.7
2149,"Creek, Oklahoma",15.1,40.3,1.0,17.0
2150,"Custer, Oklahoma",19.0,31.4,0.2,24.8
2151,"Delaware, Oklahoma",16.8,46.7,4.4,18.1
2152,"Dewey, Oklahoma",13.8,39.2,1.9,24.0
2153,"Ellis, Oklahoma",14.9,44.1,7.6,20.1
2154,"Garfield, Oklahoma",12.8,35.8,2.7,22.9
2155,"Garvin, Oklahoma",14.2,39.3,0.4,14.7
2156,"Grady, Oklahoma",12.0,39.2,1.4,19.9
2157,"Grant, Oklahoma",7.3,42.6,3.2,24.6
2158,"Greer, Oklahoma",20.9,40.4,3.1,12.3
2159,"Harmon, Oklahoma",17.3,40.6,1.2,20.7
2160,"Harper, Oklahoma",11.6,39.7,2.7,19.3
2161,"Haskell, Oklahoma",20.2,41.0,2.2,16.2
2162,"Hughes, Oklahoma",18.1,39.4,3.0,12.9
2163,"Jackson, Oklahoma",15.2,34.1,3.2,23.3
2164,"Jefferson, Oklahoma",20.8,41.5,1.1,14.7
2165,"Johnston, Oklahoma",18.8,40.1,1.6,20.1
2166,"Kay, Oklahoma",15.1,38.4,2.3,18.9
2167,"Kingfisher, Oklahoma",12.1,37.7,1.7,22.4
2168,"Kiowa, Oklahoma",22.7,42.9,1.4,17.2
2169,"Latimer, Oklahoma",18.0,41.3,2.7,17.2
2170,"Le Flore, Oklahoma",20.2,39.4,2.3,14.6
2171,"Lincoln, Oklahoma",13.8,41.2,1.7,15.5
2172,"Logan, Oklahoma",11.5,38.5,1.7,27.7
2173,"Love, Oklahoma",15.2,39.4,2.8,13.5
2174,"McClain, Oklahoma",8.1,38.5,1.0,25.0
2175,"McCurtain, Oklahoma",23.2,38.8,1.4,13.4
2176,"McIntosh, Oklahoma",19.6,47.8,3.5,13.9
2177,"Major, Oklahoma",13.8,41.1,2.1,20.0
2178,"Marshall, Oklahoma",16.1,42.8,2.6,14.8
2179,"Mayes, Oklahoma",17.3,40.6,0.9,14.3
2180,"Murray, Oklahoma",13.5,42.9,4.7,17.4
2181,"Muskogee, Oklahoma",21.6,37.9,2.6,20.4
2182,"Noble, Oklahoma",10.6,41.2,1.5,23.2
2183,"Nowata, Oklahoma",16.9,42.4,1.8,11.5
2184,"Okfuskee, Oklahoma",23.7,40.2,1.8,11.6
2185,"Oklahoma, Oklahoma",14.7,34.6,1.6,32.0
2186,"Okmulgee, Oklahoma",18.2,39.0,2.6,14.1
2187,"Osage, Oklahoma",14.7,42.5,1.9,18.0
2188,"Ottawa, Oklahoma",19.4,38.0,3.1,14.5
2189,"Pawnee, Oklahoma",15.9,41.9,1.9,16.6
2190,"Payne, Oklahoma",27.0,27.3,1.7,37.4
2191,"Pittsburg, Oklahoma",16.6,40.3,2.4,16.1
2192,"Pontotoc, Oklahoma",15.6,35.7,2.0,28.2
2193,"Pottawatomie, Oklahoma",16.0,37.7,1.4,18.3
2194,"Pushmataha, Oklahoma",21.1,44.5,2.5,14.3
2195,"Roger Mills, Oklahoma",17.6,40.6,0.9,16.2
2196,"Rogers, Oklahoma",9.6,39.1,1.6,24.9
2197,"Seminole, Oklahoma",20.4,38.8,2.2,14.3
2198,"Sequoyah, Oklahoma",21.1,40.8,3.5,14.4
2199,"Stephens, Oklahoma",14.8,40.7,2.5,16.9
2200,"Texas, Oklahoma",14.9,33.0,3.9,22.1
2201,"Tillman, Oklahoma",17.8,42.7,1.4,17.3
2202,"Tulsa, Oklahoma",14.0,35.7,1.8,31.8
2203,"Wagoner, Oklahoma",10.1,38.8,1.5,23.2
2204,"Washington, Oklahoma",13.4,40.2,2.5,28.5
2205,"Washita, Oklahoma",13.8,39.1,4.6,20.8
2206,"Woods, Oklahoma",13.6,33.4,3.3,30.3
2207,"Woodward, Oklahoma",10.5,36.5,1.6,19.4
2208,"Baker, Oregon",12.2,48.0,3.3,23.7
2209,"Benton, Oregon",18.6,33.0,0.4,54.1
2210,"Clackamas, Oregon",8.2,41.5,1.1,37.4
2211,"Clatsop, Oregon",10.1,44.2,1.9,24.4
2212,"Columbia, Oregon",11.0,43.3,1.7,18.5
2213,"Coos, Oregon",15.6,48.6,1.5,17.8
2214,"Crook, Oregon",13.3,47.5,0.5,19.8
2215,"Curry, Oregon",12.3,56.3,2.3,24.6
2216,"Deschutes, Oregon",11.2,42.4,1.9,35.4
2217,"Douglas, Oregon",13.2,47.1,2.4,17.3
2218,"Gilliam, Oregon",12.6,50.1,5.7,17.4
2219,"Grant, Oregon",19.1,52.9,4.6,18.9
2220,"Harney, Oregon",11.5,45.9,3.0,18.4
2221,"Hood River, Oregon",5.0,39.3,1.0,32.0
2222,"Jackson, Oregon",14.7,42.6,2.0,27.8
2223,"Jefferson, Oregon",15.0,40.8,1.5,19.4
2224,"Josephine, Oregon",17.2,47.7,1.1,17.5
2225,"Klamath, Oregon",18.6,42.2,3.3,20.0
2226,"Lake, Oregon",19.9,48.6,3.4,16.4
2227,"Lane, Oregon",16.6,39.4,1.1,30.5
2228,"Lincoln, Oregon",15.2,51.6,3.0,24.9
2229,"Linn, Oregon",12.7,39.6,1.1,19.3
2230,"Malheur, Oregon",20.5,36.1,2.6,13.7
2231,"Marion, Oregon",12.3,36.6,1.7,23.5
2232,"Morrow, Oregon",13.9,38.9,2.8,9.0
2233,"Multnomah, Oregon",13.2,37.2,1.1,45.9
2234,"Polk, Oregon",12.1,37.0,1.1,31.0
2235,"Sherman, Oregon",12.6,51.4,0.8,17.3
2236,"Tillamook, Oregon",11.3,48.1,2.8,21.8
2237,"Umatilla, Oregon",16.9,36.5,0.8,17.2
2238,"Union, Oregon",14.7,40.2,1.1,24.5
2239,"Wallowa, Oregon",14.8,52.6,0.3,26.4
2240,"Wasco, Oregon",11.0,40.8,1.1,19.6
2241,"Washington, Oregon",8.0,36.7,1.0,44.4
2242,"Wheeler, Oregon",10.6,59.0,4.3,14.9
2243,"Yamhill, Oregon",11.7,38.3,1.0,26.9
2244,"Adams, Pennsylvania",7.2,43.9,0.5,22.3
2245,"Allegheny, Pennsylvania",12.1,40.8,1.4,41.6
2246,"Armstrong, Pennsylvania",11.6,46.6,2.4,16.7
2247,"Beaver, Pennsylvania",11.2,45.1,1.9,24.7
2248,"Bedford, Pennsylvania",12.2,46.5,1.9,14.7
2249,"Berks, Pennsylvania",11.1,39.9,1.7,24.9
2250,"Blair, Pennsylvania",14.8,43.4,0.8,21.3
2251,"Bradford, Pennsylvania",12.3,44.5,1.9,18.7
2252,"Bucks, Pennsylvania",6.2,43.9,0.8,41.3
2253,"Butler, Pennsylvania",9.2,43.3,1.4,36.0
2254,"Cambria, Pennsylvania",15.1,45.4,2.2,21.1
2255,"Cameron, Pennsylvania",15.3,52.0,4.2,13.7
2256,"Carbon, Pennsylvania",10.6,46.2,3.1,17.9
2257,"Centre, Pennsylvania",16.0,32.3,1.0,45.5
2258,"Chester, Pennsylvania",6.3,40.4,1.1,53.0
2259,"Clarion, Pennsylvania",16.4,41.5,2.0,22.1
2260,"Clearfield, Pennsylvania",13.9,45.0,1.9,15.1
2261,"Clinton, Pennsylvania",15.3,38.6,1.5,19.5
2262,"Columbia, Pennsylvania",15.9,41.0,2.1,22.9
2263,"Crawford, Pennsylvania",13.1,43.2,1.8,21.1
2264,"Cumberland, Pennsylvania",6.7,40.6,1.5,36.6
2265,"Dauphin, Pennsylvania",11.2,39.7,1.6,30.8
2266,"Delaware, Pennsylvania",10.0,39.0,1.8,39.0
2267,"Elk, Pennsylvania",10.1,47.4,1.7,19.6
2268,"Erie, Pennsylvania",15.4,39.7,1.9,27.9
2269,"Fayette, Pennsylvania",17.0,45.0,2.3,17.3
2270,"Forest, Pennsylvania",16.6,43.3,2.1,8.1
2271,"Franklin, Pennsylvania",8.7,41.6,1.7,21.6
2272,"Fulton, Pennsylvania",12.6,45.4,1.9,13.6
2273,"Greene, Pennsylvania",13.4,42.2,1.3,17.6
2274,"Huntingdon, Pennsylvania",12.8,43.7,1.7,17.4
2275,"Indiana, Pennsylvania",15.8,40.2,3.2,23.0
2276,"Jefferson, Pennsylvania",14.8,43.9,2.4,15.9
2277,"Juniata, Pennsylvania",11.4,42.9,1.8,14.5
2278,"Lackawanna, Pennsylvania",14.3,42.1,1.5,28.3
2279,"Lancaster, Pennsylvania",9.4,38.6,0.9,27.3
2280,"Lawrence, Pennsylvania",14.0,45.2,2.0,22.1
2281,"Lebanon, Pennsylvania",10.0,41.0,1.4,20.7
2282,"Lehigh, Pennsylvania",11.1,39.1,1.1,29.9
2283,"Luzerne, Pennsylvania",13.7,42.8,2.4,22.9
2284,"Lycoming, Pennsylvania",13.5,41.5,1.9,23.4
2285,"McKean, Pennsylvania",14.6,43.2,2.4,18.9
2286,"Mercer, Pennsylvania",12.5,44.7,1.4,22.8
2287,"Mifflin, Pennsylvania",12.0,44.0,1.2,11.9
2288,"Monroe, Pennsylvania",10.6,42.9,2.6,24.7
2289,"Montgomery, Pennsylvania",6.3,41.2,1.4,49.3
2290,"Montour, Pennsylvania",11.4,43.3,1.1,31.6
2291,"Northampton, Pennsylvania",8.2,42.2,1.0,30.3
2292,"Northumberland, Pennsylvania",13.9,44.5,1.8,16.6
2293,"Perry, Pennsylvania",9.4,43.3,0.8,16.7
2294,"Philadelphia, Pennsylvania",22.9,34.4,1.9,29.7
2295,"Pike, Pennsylvania",9.4,48.2,1.6,26.8
2296,"Potter, Pennsylvania",13.3,47.2,1.6,15.4
2297,"Schuylkill, Pennsylvania",12.8,44.4,1.7,16.6
2298,"Snyder, Pennsylvania",9.6,40.2,1.5,19.8
2299,"Somerset, Pennsylvania",12.6,46.1,1.5,15.9
2300,"Sullivan, Pennsylvania",12.4,53.7,3.7,17.2
2301,"Susquehanna, Pennsylvania",11.6,48.4,2.1,18.6
2302,"Tioga, Pennsylvania",13.7,44.6,1.8,19.1
2303,"Union, Pennsylvania",11.6,39.5,1.2,26.0
2304,"Venango, Pennsylvania",12.9,46.9,2.1,18.7
2305,"Warren, Pennsylvania",11.7,47.4,1.4,19.5
2306,"Washington, Pennsylvania",10.1,44.5,2.0,30.0
2307,"Wayne, Pennsylvania",10.7,48.2,1.4,20.4
2308,"Westmoreland, Pennsylvania",10.7,47.0,2.0,29.1
